date,value,SeriesId
2002-12-25,17.07517244274155,2656
2029-11-25,16.67312533715412,2657
2024-10-25,33.87686019882311,2658
2021-10-25,33.48621006286788,2659
2017-10-25,10.04410853737542,2660
2002-12-25,15.28701536689305,2661
2029-11-25,14.96883540481513,2662
2028-11-25,14.99051472000818,2663
2017-10-25,10.66681810128472,2664
2029-11-25,17.00529836934931,2665
2027-10-25,20.11768847226289,2666
2024-10-25,19.09688276390559,2667
2022-10-25,32.91031120324577,2668
2021-10-25,31.98095446596793,2669
2017-10-25,11.17117004604514,2670
2002-12-25,16.57872229856448,2671
2029-11-25,16.30879438919045,2672
2027-10-25,16.51705142943236,2673
2024-10-25,19.26391528355666,2674
2022-10-25,35.68163616945559,2675
2021-10-25,33.87686019882311,2676
2017-10-25,9.440342271845802,2677
2002-12-25,19.10026573104697,2678
2029-11-25,16.36712487347152,2679
2027-10-25,20.41961734772239,2680
2024-10-25,32.72127010006583,2681
2022-10-25,33.10085067978878,2682
2021-10-25,32.16358149363534,2683
2017-10-25,11.92729407263602,2684
2002-12-25,15.3351964292043,2685
2029-11-25,15.23954671708076,2686
2027-10-25,16.90270053426075,2687
2024-10-25,17.05737453637057,2688
2022-10-25,25.06560053479448,2689
2021-10-25,24.27494699514434,2690
2017-10-25,8.858615321247504,2691
2002-12-25,16.30879438919045,2692
2029-11-25,16.08430878929589,2693
2027-10-25,17.25524953518001,2694
2024-10-25,19.55470500076627,2695
2022-10-25,34.47143466415181,2696
2021-10-25,33.68090812995035,2697
2018-10-25,18.06260244976801,2698
2017-10-25,14.96883540481513,2699
2002-12-25,14.24893424940776,2700
2027-10-25,15.40883984052931,2701
2024-10-25,19.79923824378315,2702
2022-10-25,25.06560053479448,2703
2021-10-25,34.07398927743001,2704
2017-10-25,14.86269464095571,2705
2002-12-25,14.00144149396363,2706
2029-11-25,13.80648501709621,2707
2027-10-25,19.72030539901379,2708
2024-10-25,32.91031120324577,2709
2021-10-25,31.98095446596793,2710
2017-10-25,8.817382811521815,2711
2002-12-25,15.40883984052931,2712
2029-11-25,17.00529836934931,2713
2027-10-25,17.44344529679057,2714
2022-10-25,34.07398927743001,2715
2021-10-25,32.91031120324577,2716
2017-10-25,14.01837269527532,2717
2002-12-25,16.97080775915879,2718
2029-11-25,16.83573421657099,2719
2027-10-25,11.11798371217593,2720
2024-10-25,11.5666885206255,2721
2022-10-25,12.1469040782115,2722
2021-10-25,11.8417133288923,2723
2017-10-25,10.02985937337797,2724
2002-12-25,15.484180781236,2725
2029-11-25,15.21607455084383,2726
2027-10-25,23.848811131443,2727
2024-10-25,31.09354846560045,2728
2022-10-25,33.10085067978878,2729
2021-10-25,31.98095446596793,2730
2017-10-25,9.330427248295708,2731
2024-10-25,24.71781699703686,2732
2022-10-25,25.1846378715724,2733
2021-10-25,24.27494699514434,2734
2017-10-25,18.67967681350702,2735
2002-12-25,15.43376195459963,2736
2029-11-25,15.23954671708076,2737
2027-10-25,17.32952334667128,2738
2024-10-25,12.62379853711892,2739
2022-10-25,13.10720298865896,2740
2021-10-25,14.35613167081756,2741
2017-10-25,8.252795254993957,2742
2002-12-25,13.15275883723454,2743
2029-11-25,13.78321131127531,2744
2027-10-25,14.72013077794806,2745
2024-10-25,17.25706768080513,2746
2022-10-25,36.89497258023081,2747
2021-10-25,35.47879526393742,2748
2017-10-25,9.093363076732238,2749
2002-12-25,14.72013077794806,2750
2029-11-25,14.3827106774332,2751
2027-10-25,13.53275775908037,2752
2024-10-25,15.67617510063754,2753
2022-10-25,17.64230904170957,2754
2021-10-25,17.38165055301096,2755
2018-10-25,11.69989132342596,2756
2017-10-25,8.211656766407264,2757
2002-12-25,15.56127950751255,2758
2027-10-25,15.74837264055251,2759
2024-10-25,17.17602753135179,2760
2022-10-25,19.86211593094074,2761
2021-10-25,19.55470500076627,2762
2017-10-25,10.27451318135045,2763
2027-10-25,10.97329114915691,2764
2024-10-25,15.94625445076605,2765
2021-10-25,16.18686812357735,2766
2017-10-25,13.74469026564439,2767
2027-10-25,9.301063965008666,2768
2024-10-25,15.97545926692575,2769
2022-10-25,16.58025767961893,2770
2021-10-25,16.41129560367594,2771
2017-10-25,12.14994477953363,2772
2002-12-25,14.48062478111719,2773
2029-11-25,14.46056538981551,2774
2027-10-25,12.21938574291645,2775
2024-10-25,13.16562127338862,2776
2022-10-25,13.34157473723175,2777
2021-10-25,13.96555067660637,2778
